"","input_number","input","target_number","target","name","description","namespace"
"11",11,"AT5G26160","11.1","AT5G26160","AT5G26160","light-independent protochlorophyllide reductase subunit [Source:NCBI gene (formerly Entrezgene);Acc:832685]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"12",12,"AT5G02020","12.1","AT5G02020","SIS","E3 ubiquitin-protein ligase RLIM-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831782]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"13",13,"AT5G37260","13.1","AT5G37260","RVE2","Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:833700]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"14",14,"AT5G16560","14.1","AT5G16560","KAN","Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831518]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"15",15,"AT5G56550","15.1","AT5G56550","OXS3","oxidative stress 3 [Source:NCBI gene (formerly Entrezgene);Acc:835756]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"16",16,"AT5G42860","16.1","AT5G42860","AT5G42860","late embryosis abundant protein, group 2 [Source:NCBI gene (formerly Entrezgene);Acc:834297]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"17",17,"AT5G62180","17.1","AT5G62180","CXE20","carboxyesterase 20 [Source:NCBI gene (formerly Entrezgene);Acc:836339]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"18",18,"AT5G25450","18.1","AT5G25450","AT5G25450","Cytochrome bd ubiquinol oxidase, 14kDa subunit [Source:NCBI gene (formerly Entrezgene);Acc:832619]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"19",19,"AT5G57655","19.1","AT5G57655","AT5G57655","xylose isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:835871]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"20",20,"AT5G00825","20.1","AT5G00825","AT5G00825","ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:28720319]","ARRAYEXPRESS,ENSG,ENTREZGENE,WIKIGENE"
"21",21,"AT3G48360","21.1","AT3G48360","BT2","BTB and TAZ domain protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:823994]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"22",22,"AT3G46640","22.1","AT3G46640","PCL1","Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:823817]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"23",23,"AT3G62390","23.1","AT3G62390","TBL6","TRICHOME BIREFRINGENCE-LIKE 6 [Source:NCBI gene (formerly Entrezgene);Acc:825412]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"24",24,"AT3G03580","24.1","AT3G03580","AT3G03580","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821229]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"25",25,"AT3G50140","25.1","AT3G50140","AT3G50140","transmembrane protein, putative (DUF247) [Source:NCBI gene (formerly Entrezgene);Acc:824176]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"26",26,"AT3G54810","26.1","AT3G54810","BME3","Plant-specific GATA-type zinc finger transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:824646]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"27",27,"AT2G47260","27.1","AT2G47260","WRKY23","WRKY DNA-binding protein 23 [Source:NCBI gene (formerly Entrezgene);Acc:819339]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"28",28,"AT2G19450","28.1","AT2G19450","TAG1","membrane bound O-acyl transferase (MBOAT) family protein [Source:NCBI gene (formerly Entrezgene);Acc:816464]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"29",29,"AT2G28080","29.1","AT2G28080","AT2G28080","UDP-Glycosyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817352]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"30",30,"AT2G20210","30.1","AT2G20210","AT2G20210","RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816540]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"31",31,"AT2G27820","31.1","AT2G27820","PD1","prephenate dehydratase 1 [Source:NCBI gene (formerly Entrezgene);Acc:817329]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"32",32,"AT2G45080","32.1","AT2G45080","cycp3;1","cyclin p3;1 [Source:NCBI gene (formerly Entrezgene);Acc:819115]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"33",33,"AT4G38480","33.1","AT4G38480","AT4G38480","Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830004]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"34",34,"AT4G29910","34.1","AT4G29910","ORC5","origin recognition complex protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:829114]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"35",35,"AT4G13930","35.1","AT4G13930","SHM4","serine hydroxymethyltransferase 4 [Source:NCBI gene (formerly Entrezgene);Acc:827027]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"36",36,"AT4G22770","36.1","AT4G22770","AT4G22770","AT hook motif DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:828376]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"37",37,"AT4G36050","37.1","AT4G36050","AT4G36050","endonuclease/exonuclease/phosphatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:829761]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
