"","input_number","input","target_number","target","name","description","namespace"
"26",26,"AT5G10020","26.1","AT5G10020","AT5G10020","Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830865]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"27",27,"AT5G50580","27.1","AT5G50580","SAE1B","SUMO-activating enzyme 1B [Source:NCBI gene (formerly Entrezgene);Acc:835127]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"28",28,"AT5G39980","28.1","AT5G39980","AT5G39980","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:833995]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"29",29,"AT5G27120","29.1","AT5G27120","AT5G27120","NOP56-like pre RNA processing ribonucleoprotein [Source:NCBI gene (formerly Entrezgene);Acc:832770]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"30",30,"AT5G55050","30.1","AT5G55050","AT5G55050","GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:835596]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"31",31,"AT3G25730","31.1","AT3G25730","EDF3","ethylene response DNA binding factor 3 [Source:NCBI gene (formerly Entrezgene);Acc:822164]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"32",32,"AT3G48360","32.1","AT3G48360","BT2","BTB and TAZ domain protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:823994]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"33",33,"AT3G15000","33.1","AT3G15000","RIP1","cobalt ion binding protein [Source:NCBI gene (formerly Entrezgene);Acc:820729]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"34",34,"AT3G29240","34.1","AT3G29240","AT3G29240","PPR containing protein (DUF179) [Source:NCBI gene (formerly Entrezgene);Acc:822579]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"35",35,"AT3G03990","35.1","AT3G03990","AT3G03990","alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819554]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"36",36,"AT3G49220","36.1","AT3G49220","AT3G49220","Plant invertase/pectin methylesterase inhibitor superfamily [Source:NCBI gene (formerly Entrezgene);Acc:824083]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"37",37,"AT3G20500","37.1","AT3G20500","PAP18","purple acid phosphatase 18 [Source:NCBI gene (formerly Entrezgene);Acc:821596]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"38",38,"AT3G15630","38.1","AT3G15630","AT3G15630","plant/protein [Source:NCBI gene (formerly Entrezgene);Acc:820805]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"39",39,"AT3G21870","39.1","AT3G21870","CYCP2;1","cyclin p2;1 [Source:NCBI gene (formerly Entrezgene);Acc:821742]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"40",40,"AT3G13560","40.1","AT3G13560","AT3G13560","O-Glycosyl hydrolases family 17 protein [Source:NCBI gene (formerly Entrezgene);Acc:820558]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"41",41,"AT3G03630","41.1","AT3G03630","CS26","cysteine synthase 26 [Source:NCBI gene (formerly Entrezgene);Acc:821203]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"42",42,"AT2G23430","42.1","AT2G23430","ICK1","Cyclin-dependent kinase inhibitor family protein [Source:NCBI gene (formerly Entrezgene);Acc:816875]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"43",43,"AT2G02170","43.1","AT2G02170","AT2G02170","Remorin family protein [Source:NCBI gene (formerly Entrezgene);Acc:814748]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"44",44,"AT2G27770","44.1","AT2G27770","AT2G27770","DUF868 family protein (DUF868) [Source:NCBI gene (formerly Entrezgene);Acc:817323]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"45",45,"AT2G39130","45.1","AT2G39130","AT2G39130","Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818499]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"46",46,"AT2G19810","46.1","AT2G19810","OZF1","CCCH-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:816500]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"47",47,"AT2G22190","47.1","AT2G22190","TPPE","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816753]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"48",48,"AT2G46310","48.1","AT2G46310","CRF5","cytokinin response factor 5 [Source:NCBI gene (formerly Entrezgene);Acc:819239]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"49",49,"AT2G44940","49.1","AT2G44940","AT2G44940","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819103]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"50",50,"AT4G17090","50.1","AT4G17090","CT-BMY","chloroplast beta-amylase [Source:NCBI gene (formerly Entrezgene);Acc:827419]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"51",51,"AT4G31810","51.1","AT4G31810","AT4G31810","ATP-dependent caseinolytic (Clp) protease/crotonase family protein [Source:NCBI gene (formerly Entrezgene);Acc:829310]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"52",52,"AT4G27290","52.1","AT4G27290","AT4G27290","S-locus lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:828837]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"53",53,"AT4G27520","53.1","AT4G27520","ENODL2","early nodulin-like protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:828861]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"54",54,"AT4G38100","54.1","AT4G38100","AT4G38100","CURVATURE THYLAKOID 1D-like protein [Source:NCBI gene (formerly Entrezgene);Acc:829966]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"55",55,"AT4G37610","55.1","AT4G37610","BT5","BTB and TAZ domain protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:829915]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"56",56,"AT4G24960","56.1","AT4G24960","HVA22D","HVA22 homologue D [Source:NCBI gene (formerly Entrezgene);Acc:828598]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"57",57,"AT4G30650","57.1","AT4G30650","AT4G30650","Low temperature and salt responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:829188]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
