"","input_number","input","target_number","target","name","description","namespace"
"21",21,"AT1G14880","21.1","AT1G14880","PCR1","PLANT CADMIUM RESISTANCE 1 [Source:NCBI gene (formerly Entrezgene);Acc:838053]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"22",22,"AT1G34640","22.1","AT1G34640","AT1G34640","peptidase [Source:NCBI gene (formerly Entrezgene);Acc:840368]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"23",23,"AT1G49430","23.1","AT1G49430","LACS2","long-chain acyl-CoA synthetase 2 [Source:NCBI gene (formerly Entrezgene);Acc:841367]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"24",24,"AT1G22900","24.1","AT1G22900","AT1G22900","Disease resistance-responsive (dirigent-like protein) family protein [Source:NCBI gene (formerly Entrezgene);Acc:838897]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"25",25,"AT1G09210","25.1","AT1G09210","CRT1b","calreticulin 1b [Source:NCBI gene (formerly Entrezgene);Acc:837441]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"26",26,"AT1G01830","26.1","AT1G01830","AT1G01830","ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839264]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"27",27,"AT1G08630","27.1","AT1G08630","THA1","threonine aldolase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837385]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"28",28,"AT1G50590","28.1","AT1G50590","AT1G50590","RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841481]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"29",29,"AT1G68500","29.1","AT1G68500","AT1G68500","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"30",30,"AT1G77760","30.1","AT1G77760","NIA1","nitrate reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:844112]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"31",31,"AT1G22370","31.1","AT1G22370","UGT85A5","UDP-glucosyl transferase 85A5 [Source:NCBI gene (formerly Entrezgene);Acc:838844]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"32",32,"AT1G75230","32.1","AT1G75230","AT1G75230","DNA glycosylase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843860]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"33",33,"AT1G17140","33.1","AT1G17140","ICR1","interactor of constitutive active rops 1 [Source:NCBI gene (formerly Entrezgene);Acc:838284]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"34",34,"AT1G08380","34.1","AT1G08380","PSAO","photosystem I subunit O [Source:NCBI gene (formerly Entrezgene);Acc:837358]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"35",35,"AT1G44120","35.1","AT1G44120","AT1G44120","CELLULOSE SYNTHASE INTERACTIVE 2 [Source:NCBI gene (formerly Entrezgene);Acc:841015]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"36",36,"AT1G37130","36.1","AT1G37130","NIA2","nitrate reductase 2 [Source:NCBI gene (formerly Entrezgene);Acc:840630]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"37",37,"AT1G04490","37.1","AT1G04490","AT1G04490","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"38",38,"AT1G78476","38.1","AT1G78476","AT1G78476","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"39",39,"AT1G17500","39.1","AT1G17500","AT1G17500","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838324]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"40",40,"AT1G60270","40.1","AT1G60270","BGLU6","beta glucosidase 6 [Source:NCBI gene (formerly Entrezgene);Acc:3767579]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"41",41,"AT1G42470","41.1","AT1G42470","AT1G42470","Patched family protein [Source:NCBI gene (formerly Entrezgene);Acc:840851]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"42",42,"AT1G56150","42.1","AT1G56150","AT1G56150","SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:842068]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"43",43,"AT1G70700","43.1","AT1G70700","TIFY7","TIFY domain/Divergent CCT motif family protein [Source:NCBI gene (formerly Entrezgene);Acc:843407]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"44",44,"AT1G02380","44.1","AT1G02380","AT1G02380","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:837745]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"45",45,"AT1G69280","45.1","AT1G69280","AT1G69280","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"46",46,"AT1G01300","46.1","AT1G01300","AT1G01300","Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:839375]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"47",47,"AT1G22180","47.1","AT1G22180","AT1G22180","Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:838823]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"48",48,"AT1G66500","48.1","AT1G66500","AT1G66500","Pre-mRNA cleavage complex II [Source:NCBI gene (formerly Entrezgene);Acc:842968]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"49",49,"AT1G50740","49.1","AT1G50740","AT1G50740","Transmembrane proteins 14C [Source:NCBI gene (formerly Entrezgene);Acc:841496]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"50",50,"AT1G02580","50.1","AT1G02580","MEA","SET domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839422]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"51",51,"AT1G77510","51.1","AT1G77510","PDIL1-2","PDI-like 1-2 [Source:NCBI gene (formerly Entrezgene);Acc:844087]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"52",52,"AT1G66960","52.1","AT1G66960","LUP5","Terpenoid cyclases family protein [Source:NCBI gene (formerly Entrezgene);Acc:843014]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"53",53,"AT1G52830","53.1","AT1G52830","IAA6","indole-3-acetic acid 6 [Source:NCBI gene (formerly Entrezgene);Acc:841717]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"54",54,"AT1G08230","54.1","AT1G08230","AT1G08230","Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:837344]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"55",55,"AT1G12450","55.1","AT1G12450","AT1G12450","SNARE associated Golgi protein family [Source:NCBI gene (formerly Entrezgene);Acc:837802]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"56",56,"AT1G05870","56.1","AT1G05870","AT1G05870","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"57",57,"AT1G68700","57.1","AT1G68700","AT1G68700","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:28717409]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"58",58,"AT1G64820","58.1","AT1G64820","AT1G64820","MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:842790]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"59",59,"AT1G30360","59.1","AT1G30360","ERD4","Early-responsive to dehydration stress protein (ERD4) [Source:NCBI gene (formerly Entrezgene);Acc:839916]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"60",60,"AT1G75280","60.1","AT1G75280","AT1G75280","NmrA-like negative transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:843865]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"61",61,"AT1G18200","61.1","AT1G18200","RABA6b","Rab GTPase-like A1I protein [Source:NCBI gene (formerly Entrezgene);Acc:838399]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"62",62,"AT1G66180","62.1","AT1G66180","AT1G66180","Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:842933]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"63",63,"AT1G07720","63.1","AT1G07720","KCS3","3-ketoacyl-CoA synthase 3 [Source:NCBI gene (formerly Entrezgene);Acc:837286]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"64",64,"AT1G52827","64.1","AT1G52827","CDT1","cadmium tolerance 1 [Source:NCBI gene (formerly Entrezgene);Acc:2745823]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"65",65,"AT1G01260","65.1","AT1G01260","AT1G01260","basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839545]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"66",66,"AT1G66590","66.1","AT1G66590","COX19-1","cytochrome c oxidase 19-1 [Source:NCBI gene (formerly Entrezgene);Acc:842977]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"67",67,"AT1G16370","67.1","AT1G16370","OCT6","organic cation/carnitine transporter 6 [Source:NCBI gene (formerly Entrezgene);Acc:838207]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"68",68,"AT1G75960","68.1","AT1G75960","AT1G75960","AMP-dependent synthetase and ligase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843929]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"69",69,"AT1G63880","69.1","AT1G63880","AT1G63880","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842692]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"70",70,"AT1G79110","70.1","AT1G79110","BRG2","zinc ion binding protein [Source:NCBI gene (formerly Entrezgene);Acc:844252]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"71",71,"AT1G06040","71.1","AT1G06040","STO","B-box zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:837113]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"72",72,"AT1G14080","72.1","AT1G14080","FUT6","fucosyltransferase 6 [Source:NCBI gene (formerly Entrezgene);Acc:837968]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"73",73,"AT1G78760","73.1","AT1G78760","AT1G78760","F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844212]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"74",74,"AT1G49350","74.1","AT1G49350","AT1G49350","pfkB-like carbohydrate kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:841358]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"75",75,"AT1G60870","75.1","AT1G60870","MEE9","maternal effect embryo arrest 9 [Source:NCBI gene (formerly Entrezgene);Acc:842379]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"76",76,"AT1G02290","76.1","AT1G02290","AT1G02290","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"77",77,"AT1G75040","77.1","AT1G75040","PR5","pathosis-related protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:843842]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"78",78,"AT1G15510","78.1","AT1G15510","ECB2","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838121]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"79",79,"AT1G07040","79.1","AT1G07040","AT1G07040","plant/protein [Source:NCBI gene (formerly Entrezgene);Acc:837215]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"80",80,"AT1G13640","80.1","AT1G13640","AT1G13640","Phosphatidylinositol 3- and 4-kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837925]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"81",81,"AT1G55110","81.1","AT1G55110","IDD7","indeterminate(ID)-domain 7 [Source:NCBI gene (formerly Entrezgene);Acc:841954]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"82",82,"AT1G68710","82.1","AT1G68710","AT1G68710","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843201]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"83",83,"AT1G79270","83.1","AT1G79270","ECT8","evolutionarily conserved C-terminal region 8 [Source:NCBI gene (formerly Entrezgene);Acc:844267]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"84",84,"AT1G65610","84.1","AT1G65610","KOR2","Six-hairpin glycosidases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842872]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"85",85,"AT1G64380","85.1","AT1G64380","AT1G64380","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842745]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"86",86,"AT1G14130","86.1","AT1G14130","AT1G14130","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837972]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"87",87,"AT1G56240","87.1","AT1G56240","PP2-B13","phloem protein 2-B13 [Source:NCBI gene (formerly Entrezgene);Acc:842077]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"88",88,"AT1G15820","88.1","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:838151]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"89",89,"AT1G72690","89.1","AT1G72690","AT1G72690","neurofilament heavy protein [Source:NCBI gene (formerly Entrezgene);Acc:843601]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"90",90,"AT1G29030","90.1","AT1G29030","AT1G29030","Apoptosis inhibitory protein 5 (API5) [Source:NCBI gene (formerly Entrezgene);Acc:839777]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"91",91,"AT1G13950","91.1","AT1G13950","ELF5A-1","eukaryotic elongation factor 5A-1 [Source:NCBI gene (formerly Entrezgene);Acc:837955]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"92",92,"AT1G17460","92.1","AT1G17460","TRFL3","TRF-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:838319]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"93",93,"AT1G18850","93.1","AT1G18850","AT1G18850","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
