"","input_number","input","target_number","target","name","description","namespace"
"31",31,"AT1G56140","31.1","AT1G56140","AT1G56140","Leucine-rich repeat transmembrane protein kinase [Source:NCBI gene (formerly Entrezgene);Acc:842066]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"32",32,"AT1G67060","32.1","AT1G67060","AT1G67060","peptidase M50B-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843026]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"33",33,"AT1G72940","33.1","AT1G72940","AT1G72940","Toll-Interleukin-Resistance (TIR) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843625]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"34",34,"AT1G18740","34.1","AT1G18740","AT1G18740","ROH1, putative (DUF793) [Source:NCBI gene (formerly Entrezgene);Acc:838456]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"35",35,"AT1G20823","35.1","AT1G20823","AT1G20823","RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838674]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"36",36,"AT1G05575","36.1","AT1G05575","AT1G05575","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:837061]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"37",37,"AT1G10560","37.1","AT1G10560","PUB18","plant U-box 18 [Source:NCBI gene (formerly Entrezgene);Acc:837597]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"38",38,"AT1G64610","38.1","AT1G64610","AT1G64610","Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842769]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"39",39,"AT1G16030","39.1","AT1G16030","Hsp70b","heat shock protein 70B [Source:NCBI gene (formerly Entrezgene);Acc:838174]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"40",40,"AT1G78850","40.1","AT1G78850","AT1G78850","D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:844222]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"41",41,"AT1G52880","41.1","AT1G52880","NAM","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841721]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"42",42,"AT1G78100","42.1","AT1G78100","AUF1","F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:844146]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"43",43,"AT1G61360","43.1","AT1G61360","AT1G61360","S-locus lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:842430]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"44",44,"AT1G80610","44.1","AT1G80610","AT1G80610","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"45",45,"AT1G03740","45.1","AT1G03740","AT1G03740","Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839423]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"46",46,"AT1G13210","46.1","AT1G13210","ACA.l","autoinhibited Ca2+/ATPase II [Source:NCBI gene (formerly Entrezgene);Acc:837881]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"47",47,"AT1G03230","47.1","AT1G03230","AT1G03230","Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838532]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"48",48,"AT1G18900","48.1","AT1G18900","AT1G18900","Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838471]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"49",49,"AT1G09970","49.1","AT1G09970","LRR XI-23","Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837531]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"50",50,"AT1G74360","50.1","AT1G74360","AT1G74360","Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843777]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"51",51,"AT1G01560","51.1","AT1G01560","MPK11","MAP kinase 11 [Source:NCBI gene (formerly Entrezgene);Acc:839523]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"52",52,"AT1G63750","52.1","AT1G63750","AT1G63750","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842679]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"53",53,"AT1G65490","53.1","AT1G65490","AT1G65490","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:842861]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"54",54,"AT1G14870","54.1","AT1G14870","PCR2","PLANT CADMIUM RESISTANCE 2 [Source:NCBI gene (formerly Entrezgene);Acc:838052]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"55",55,"AT1G09940","55.1","AT1G09940","HEMA2","Glutamyl-tRNA reductase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837528]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"56",56,"AT1G11700","56.1","AT1G11700","AT1G11700","senescence regulator (Protein of unknown function, DUF584) [Source:NCBI gene (formerly Entrezgene);Acc:837714]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"57",57,"AT1G73040","57.1","AT1G73040","AT1G73040","Mannose-binding lectin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843635]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"58",58,"AT1G13260","58.1","AT1G13260","RAV1","related to ABI3/VP1 1 [Source:NCBI gene (formerly Entrezgene);Acc:837886]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"59",59,"AT1G33610","59.1","AT1G33610","AT1G33610","Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:840255]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"60",60,"AT1G57990","60.1","AT1G57990","PUP18","purine permease 18 [Source:NCBI gene (formerly Entrezgene);Acc:842166]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"61",61,"AT1G69900","61.1","AT1G69900","AT1G69900","Actin cross-linking protein [Source:NCBI gene (formerly Entrezgene);Acc:843326]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"62",62,"AT1G33760","62.1","AT1G33760","AT1G33760","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:840267]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"63",63,"AT1G61340","63.1","AT1G61340","FBS1","F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:842428]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"64",64,"AT1G59870","64.1","AT1G59870","PEN3","ABC-2 and Plant PDR ABC-type transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:842281]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"65",65,"AT1G59620","65.1","AT1G59620","CW9","Disease resistance protein (CC-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842252]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS"
"66",66,"AT1G71697","66.1","AT1G71697","CK1","choline kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:843500]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"67",67,"AT1G33600","67.1","AT1G33600","AT1G33600","Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:840254]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"68",68,"AT1G74330","68.1","AT1G74330","AT1G74330","Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843774]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"69",69,"AT1G07180","69.1","AT1G07180","NDA1","alternative NAD(P)H dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837229]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"70",70,"AT1G69840","70.1","AT1G69840","AT1G69840","SPFH/Band 7/PHB domain-containing membrane-associated protein family [Source:NCBI gene (formerly Entrezgene);Acc:843320]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"71",71,"AT1G17380","71.1","AT1G17380","JAZ5","jasmonate-zim-domain protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:838310]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"72",72,"AT1G53170","72.1","AT1G53170","ERF8","None","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"73",73,"AT1G61470","73.1","AT1G61470","AT1G61470","Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842441]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"74",74,"AT1G28480","74.1","AT1G28480","GRX480","Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839748]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"75",75,"AT1G80133","75.1","AT1G80133","AT1G80133","EPIDERMAL PATTERNING FACTOR-like protein [Source:NCBI gene (formerly Entrezgene);Acc:5007859]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"76",76,"AT1G68690","76.1","AT1G68690","PERK9","Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:3767664]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"77",77,"AT1G32920","77.1","AT1G32920","AT1G32920","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"78",78,"AT1G19380","78.1","AT1G19380","AT1G19380","sugar, putative (DUF1195) [Source:NCBI gene (formerly Entrezgene);Acc:838521]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"79",79,"AT1G56510","79.1","AT1G56510","WRR4","Disease resistance protein (TIR-NBS-LRR class) [Source:NCBI gene (formerly Entrezgene);Acc:842104]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"80",80,"AT1G56520","80.1","AT1G56520","AT1G56520","Disease resistance protein (TIR-NBS-LRR class) family [Source:NCBI gene (formerly Entrezgene);Acc:842105]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"81",81,"AT1G16110","81.1","AT1G16110","WAKL6","wall associated kinase-like 6 [Source:NCBI gene (formerly Entrezgene);Acc:838180]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"82",82,"AT1G31290","82.1","AT1G31290","AGO3","ARGONAUTE 3 [Source:NCBI gene (formerly Entrezgene);Acc:840017]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"83",83,"AT1G02360","83.1","AT1G02360","AT1G02360","Chitinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837724]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"84",84,"AT1G08930","84.1","AT1G08930","ERD6","Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837414]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"85",85,"AT1G33590","85.1","AT1G33590","AT1G33590","Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:840253]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"86",86,"AT1G14920","86.1","AT1G14920","GAI","GRAS family transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:838057]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"87",87,"AT1G24140","87.1","AT1G24140","AT1G24140","Matrixin family protein [Source:NCBI gene (formerly Entrezgene);Acc:839026]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"88",88,"AT1G42990","88.1","AT1G42990","BZIP60","basic region/leucine zipper motif 60 [Source:NCBI gene (formerly Entrezgene);Acc:840897]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"89",89,"AT1G67470","89.1","AT1G67470","AT1G67470","Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843068]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"90",90,"AT1G14540","90.1","AT1G14540","PER4","Peroxidase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838016]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"91",91,"AT1G22220","91.1","AT1G22220","AUF2","F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:838827]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"92",92,"AT1G80130","92.1","AT1G80130","AT1G80130","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844353]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"93",93,"AT1G76600","93.1","AT1G76600","AT1G76600","poly polymerase [Source:NCBI gene (formerly Entrezgene);Acc:843993]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
