"","input_number","input","target_number","target","name","description","namespace"
"18",18,"AT1G70280","18.1","AT1G70280","AT1G70280","NHL domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843364]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"19",19,"AT1G65860","19.1","AT1G65860","FMO GS-OX1","flavin-monooxygenase glucosinolate S-oxygenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:842897]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"20",20,"AT1G24150","20.1","AT1G24150","FH4","formin homologue 4 [Source:NCBI gene (formerly Entrezgene);Acc:839028]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS"
"21",21,"AT1G69200","21.1","AT1G69200","FLN2","fructokinase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843251]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"22",22,"AT1G49230","22.1","AT1G49230","AT1G49230","RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841346]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"23",23,"AT1G78370","23.1","AT1G78370","GSTU20","glutathione S-transferase TAU 20 [Source:NCBI gene (formerly Entrezgene);Acc:844173]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"24",24,"AT1G26270","24.1","AT1G26270","AT1G26270","Phosphatidylinositol 3- and 4-kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839168]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"25",25,"AT1G64600","25.1","AT1G64600","AT1G64600","copper ion binding / methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:842768]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"26",26,"AT1G11310","26.1","AT1G11310","MLO2","Seven transmembrane MLO family protein [Source:NCBI gene (formerly Entrezgene);Acc:837673]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"27",27,"AT1G11580","27.1","AT1G11580","PMEPCRA","methylesterase PCR A [Source:NCBI gene (formerly Entrezgene);Acc:837701]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"28",28,"AT1G69530","28.1","AT1G69530","EXPA1","expansin A1 [Source:NCBI gene (formerly Entrezgene);Acc:843288]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"29",29,"AT1G30730","29.1","AT1G30730","AT1G30730","FAD-binding Berberine family protein [Source:NCBI gene (formerly Entrezgene);Acc:839953]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"30",30,"AT1G19670","30.1","AT1G19670","CLH1","chlorophyllase 1 [Source:NCBI gene (formerly Entrezgene);Acc:838554]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"31",31,"AT1G62560","31.1","AT1G62560","FMO GS-OX3","flavin-monooxygenase glucosinolate S-oxygenase 3 [Source:NCBI gene (formerly Entrezgene);Acc:842553]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"32",32,"AT1G23390","32.1","AT1G23390","AT1G23390","Kelch repeat-containing F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:838947]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"33",33,"AT1G78650","33.1","AT1G78650","POLD3","DNA-directed DNA polymerase [Source:NCBI gene (formerly Entrezgene);Acc:844201]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"34",34,"AT1G30370","34.1","AT1G30370","DLAH","alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839917]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"35",35,"AT1G03400","35.1","AT1G03400","AT1G03400","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838751]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"36",36,"AT1G10090","36.1","AT1G10090","AT1G10090","Early-responsive to dehydration stress protein (ERD4) [Source:NCBI gene (formerly Entrezgene);Acc:837544]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"37",37,"AT1G68585","37.1","AT1G68585","AT1G68585","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"38",38,"AT5G26220","38.1","AT5G26220","AT5G26220","ChaC-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:832691]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"39",39,"AT5G07690","39.1","AT5G07690","MYB29","myb domain protein 29 [Source:NCBI gene (formerly Entrezgene);Acc:830662]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"40",40,"AT5G08500","40.1","AT5G08500","AT5G08500","Transmembrane CLPTM1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830749]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"41",41,"AT5G57110","41.1","AT5G57110","ACA8","autoinhibited Ca2+ -ATPase [Source:NCBI gene (formerly Entrezgene);Acc:835815]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"42",42,"AT5G10240","42.1","AT5G10240","ASN3","asparagine synthetase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830888]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"43",43,"AT5G01620","43.1","AT5G01620","TBL35","TRICHOME BIREFRINGENCE-LIKE 35 [Source:NCBI gene (formerly Entrezgene);Acc:831716]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"44",44,"AT5G19210","44.1","AT5G19210","AT5G19210","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832041]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"45",45,"AT5G15870","45.1","AT5G15870","AT5G15870","glycosyl hydrolase family 81 protein [Source:NCBI gene (formerly Entrezgene);Acc:831444]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"46",46,"AT5G65207","46.1","AT5G65207","AT5G65207","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"47",47,"AT5G45510","47.1","AT5G45510","AT5G45510","Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:834587]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"48",48,"AT5G14200","48.1","AT5G14200","IMD1","isopropylmalate dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:831270]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"49",49,"AT5G62350","49.1","AT5G62350","AT5G62350","Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836356]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"50",50,"AT5G60300","50.1","AT5G60300","LecRK-I.9","Concanavalin A-like lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:836152]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"51",51,"AT5G63980","51.1","AT5G63980","SAL1","SAL1 phosphatase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:836519]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"52",52,"AT5G55260","52.1","AT5G55260","PPX2","protein phosphatase X 2 [Source:NCBI gene (formerly Entrezgene);Acc:835619]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"53",53,"AT5G45500","53.1","AT5G45500","AT5G45500","RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834586]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"54",54,"AT5G15210","54.1","AT5G15210","HB30","homeobox protein 30 [Source:NCBI gene (formerly Entrezgene);Acc:831373]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"55",55,"AT5G48250","55.1","AT5G48250","BBX8","B-box type zinc finger protein with CCT domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:834878]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"56",56,"AT5G62770","56.1","AT5G62770","AT5G62770","membrane-associated kinase regulator, putative (DUF1645) [Source:NCBI gene (formerly Entrezgene);Acc:836398]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"57",57,"AT5G62720","57.1","AT5G62720","AT5G62720","Integral membrane HPP family protein [Source:NCBI gene (formerly Entrezgene);Acc:836393]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"58",58,"AT5G42250","58.1","AT5G42250","AT5G42250","Zinc-binding alcohol dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:834230]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"59",59,"AT5G56550","59.1","AT5G56550","OXS3","oxidative stress 3 [Source:NCBI gene (formerly Entrezgene);Acc:835756]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"60",60,"AT5G16370","60.1","AT5G16370","AAE5","acyl activating enzyme 5 [Source:NCBI gene (formerly Entrezgene);Acc:831498]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"61",61,"AT5G27920","61.1","AT5G27920","AT5G27920","F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:832858]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"62",62,"AT5G65010","62.1","AT5G65010","ASN2","asparagine synthetase 2 [Source:NCBI gene (formerly Entrezgene);Acc:836625]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"63",63,"AT5G48470","63.1","AT5G48470","AT5G48470","None","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"64",64,"AT5G61420","64.1","AT5G61420","MYB28","myb domain protein 28 [Source:NCBI gene (formerly Entrezgene);Acc:836263]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"65",65,"AT5G04220","65.1","AT5G04220","SYTC","Calcium-dependent lipid-binding (CaLB domain) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830301]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"66",66,"AT5G24210","66.1","AT5G24210","AT5G24210","alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832488]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"67",67,"AT5G45490","67.1","AT5G45490","AT5G45490","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834585]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"68",68,"AT5G23010","68.1","AT5G23010","MAM1","methylthioalkylmalate synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:832365]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"69",69,"AT5G23020","69.1","AT5G23020","IMS2","2-isopropylmalate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:832366]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"70",70,"AT5G38990","70.1","AT5G38990","AT5G38990","Malectin/receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:833891]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"71",71,"AT5G65140","71.1","AT5G65140","TPPJ","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836638]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"72",72,"AT5G45650","72.1","AT5G45650","AT5G45650","subtilase family protein [Source:NCBI gene (formerly Entrezgene);Acc:834605]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"73",73,"AT5G17330","73.1","AT5G17330","GAD","glutamate decarboxylase [Source:NCBI gene (formerly Entrezgene);Acc:831599]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"74",74,"AT5G62560","74.1","AT5G62560","AT5G62560","RING/U-box superfamily protein with ARM repeat domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:836376]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"75",75,"AT5G37540","75.1","AT5G37540","AT5G37540","Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:833732]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"76",76,"AT5G62360","76.1","AT5G62360","AT5G62360","Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836357]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"77",77,"AT3G54830","77.1","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:824648]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"78",78,"AT3G06740","78.1","AT3G06740","GATA15","GATA transcription factor 15 [Source:NCBI gene (formerly Entrezgene);Acc:819859]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"79",79,"AT3G53830","79.1","AT3G53830","AT3G53830","Regulator of chromosome condensation (RCC1) family protein [Source:NCBI gene (formerly Entrezgene);Acc:824550]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"80",80,"AT3G19710","80.1","AT3G19710","BCAT4","branched-chain aminotransferase4 [Source:NCBI gene (formerly Entrezgene);Acc:821508]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"81",81,"AT3G27170","81.1","AT3G27170","CLC-B","chloride channel B [Source:NCBI gene (formerly Entrezgene);Acc:822336]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"82",82,"AT3G48520","82.1","AT3G48520","CYP94B3","cytochrome P450, family 94, subfamily B, polypeptide 3 [Source:NCBI gene (formerly Entrezgene);Acc:824011]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"83",83,"AT3G58990","83.1","AT3G58990","IPMI1","isopropylmalate isomerase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825068]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"84",84,"AT3G50950","84.1","AT3G50950","ZAR1","HOPZ-ACTIVATED RESISTANCE 1 [Source:NCBI gene (formerly Entrezgene);Acc:824259]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"85",85,"AT3G27180","85.1","AT3G27180","AT3G27180","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822337]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"86",86,"AT3G26600","86.1","AT3G26600","ARO4","armadillo repeat only 4 [Source:NCBI gene (formerly Entrezgene);Acc:822269]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"87",87,"AT3G10020","87.1","AT3G10020","AT3G10020","plant/protein [Source:NCBI gene (formerly Entrezgene);Acc:820163]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"88",88,"AT3G29240","88.1","AT3G29240","AT3G29240","PPR containing protein (DUF179) [Source:NCBI gene (formerly Entrezgene);Acc:822579]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"89",89,"AT3G26960","89.1","AT3G26960","AT3G26960","Pollen Ole e 1 allergen and extensin family protein [Source:NCBI gene (formerly Entrezgene);Acc:822314]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"90",90,"AT3G10420","90.1","AT3G10420","SPD1","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:820206]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"91",91,"AT3G26910","91.1","AT3G26910","AT3G26910","hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:822307]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"92",92,"AT3G49220","92.1","AT3G49220","AT3G49220","Plant invertase/pectin methylesterase inhibitor superfamily [Source:NCBI gene (formerly Entrezgene);Acc:824083]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"93",93,"AT3G15630","93.1","AT3G15630","AT3G15630","plant/protein [Source:NCBI gene (formerly Entrezgene);Acc:820805]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
