"term_id","term_name","p_value","source","GeneRatio","intersection","Treatment","Timepoint","Direction"
"GO:0071453","cellular response to oxygen levels",2.33746505124498e-40,"GO:BP","58/485","AT1G18300,AT1G26410,AT1G65490,AT1G61340,AT1G02360,AT1G14540,AT1G21550,AT1G57630,AT1G27730,AT1G26380,AT1G66090,AT1G72920,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G26920,AT5G24530,AT5G35735,AT5G42050,AT5G54490,AT5G59820,AT5G42380,AT5G66650,AT5G13320,AT5G06320,AT5G25250,AT5G27420,AT5G57220,AT5G20230,AT5G63130,AT5G19240,AT5G04340,AT5G64905,AT5G63790,AT3G55980,AT3G46080,AT3G56400,AT3G46090,AT3G04640,AT2G32200,AT2G26150,AT2G13790,AT2G26560,AT2G46400,AT2G32210,AT2G23270,AT2G41100,AT2G26190,AT2G22500,AT2G40140,AT4G34150,AT4G13395,AT4G24110,AT4G29780,AT4G27280,AT4G24570,AT4G12720","HopB1_8h","8h","Up"
"GO:0036294","cellular response to decreased oxygen levels",2.33746505124498e-40,"GO:BP","58/485","AT1G18300,AT1G26410,AT1G65490,AT1G61340,AT1G02360,AT1G14540,AT1G21550,AT1G57630,AT1G27730,AT1G26380,AT1G66090,AT1G72920,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G26920,AT5G24530,AT5G35735,AT5G42050,AT5G54490,AT5G59820,AT5G42380,AT5G66650,AT5G13320,AT5G06320,AT5G25250,AT5G27420,AT5G57220,AT5G20230,AT5G63130,AT5G19240,AT5G04340,AT5G64905,AT5G63790,AT3G55980,AT3G46080,AT3G56400,AT3G46090,AT3G04640,AT2G32200,AT2G26150,AT2G13790,AT2G26560,AT2G46400,AT2G32210,AT2G23270,AT2G41100,AT2G26190,AT2G22500,AT2G40140,AT4G34150,AT4G13395,AT4G24110,AT4G29780,AT4G27280,AT4G24570,AT4G12720","HopB1_8h","8h","Up"
"GO:0001666","response to hypoxia",4.60333421276393e-40,"GO:BP","60/485","AT1G18300,AT1G26410,AT1G65490,AT1G61340,AT1G02360,AT1G14540,AT1G21550,AT1G57630,AT1G27730,AT1G26380,AT1G66090,AT1G72920,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G26920,AT5G24530,AT5G35735,AT5G42050,AT5G54490,AT5G59820,AT5G42380,AT5G66650,AT5G13320,AT5G06320,AT5G25250,AT5G27420,AT5G57220,AT5G20230,AT5G63130,AT5G19240,AT5G04340,AT5G64905,AT5G63790,AT3G55980,AT3G52430,AT3G46080,AT3G48090,AT3G56400,AT3G46090,AT3G04640,AT2G32200,AT2G26150,AT2G13790,AT2G26560,AT2G46400,AT2G32210,AT2G23270,AT2G41100,AT2G26190,AT2G22500,AT2G40140,AT4G34150,AT4G13395,AT4G24110,AT4G29780,AT4G27280,AT4G24570,AT4G12720","HopB1_8h","8h","Up"
"GO:0036293","response to decreased oxygen levels",1.17121888053774e-39,"GO:BP","60/485","AT1G18300,AT1G26410,AT1G65490,AT1G61340,AT1G02360,AT1G14540,AT1G21550,AT1G57630,AT1G27730,AT1G26380,AT1G66090,AT1G72920,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G26920,AT5G24530,AT5G35735,AT5G42050,AT5G54490,AT5G59820,AT5G42380,AT5G66650,AT5G13320,AT5G06320,AT5G25250,AT5G27420,AT5G57220,AT5G20230,AT5G63130,AT5G19240,AT5G04340,AT5G64905,AT5G63790,AT3G55980,AT3G52430,AT3G46080,AT3G48090,AT3G56400,AT3G46090,AT3G04640,AT2G32200,AT2G26150,AT2G13790,AT2G26560,AT2G46400,AT2G32210,AT2G23270,AT2G41100,AT2G26190,AT2G22500,AT2G40140,AT4G34150,AT4G13395,AT4G24110,AT4G29780,AT4G27280,AT4G24570,AT4G12720","HopB1_8h","8h","Up"
"GO:0070482","response to oxygen levels",1.47528098366601e-39,"GO:BP","60/485","AT1G18300,AT1G26410,AT1G65490,AT1G61340,AT1G02360,AT1G14540,AT1G21550,AT1G57630,AT1G27730,AT1G26380,AT1G66090,AT1G72920,AT1G72900,AT1G19020,AT1G07135,AT1G72910,AT5G26920,AT5G24530,AT5G35735,AT5G42050,AT5G54490,AT5G59820,AT5G42380,AT5G66650,AT5G13320,AT5G06320,AT5G25250,AT5G27420,AT5G57220,AT5G20230,AT5G63130,AT5G19240,AT5G04340,AT5G64905,AT5G63790,AT3G55980,AT3G52430,AT3G46080,AT3G48090,AT3G56400,AT3G46090,AT3G04640,AT2G32200,AT2G26150,AT2G13790,AT2G26560,AT2G46400,AT2G32210,AT2G23270,AT2G41100,AT2G26190,AT2G22500,AT2G40140,AT4G34150,AT4G13395,AT4G24110,AT4G29780,AT4G27280,AT4G24570,AT4G12720","HopB1_8h","8h","Up"
"KEGG:04626","Plant-pathogen interaction",6.7726024118013e-10,"KEGG","21/92","AT1G66400,AT1G76040,AT1G18890,AT1G21550,AT1G51660,AT5G44460,AT5G42380,AT3G50770,AT3G01830,AT3G48080,AT3G47480,AT3G48090,AT3G25600,AT2G19190,AT2G46430,AT2G13790,AT2G41100,AT2G38470,AT2G14610,AT4G37010,AT4G11230","HopB1_8h","8h","Up"
"GO:0009733","response to auxin",1.98984675907391e-13,"GO:BP","30/224","AT1G52830,AT1G72430,AT1G29460,AT1G29500,AT1G29450,AT1G29440,AT1G28130,AT1G29510,AT1G04250,AT1G04240,AT1G29430,AT5G18080,AT5G18020,AT5G18010,AT5G18030,AT5G18050,AT5G18060,AT3G01220,AT3G03820,AT3G53480,AT3G03840,AT2G21200,AT4G38860,AT4G09160,AT4G34760,AT4G38850,AT4G34790,AT4G32280,AT4G38840,AT4G34770","HopB1_8h","8h","Down"
"GO:0009725","response to hormone",4.23841117072272e-12,"GO:BP","54/224","AT1G52830,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29450,AT1G04180,AT1G29440,AT1G28130,AT1G29510,AT1G62480,AT1G68870,AT1G64670,AT1G69530,AT1G74670,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G18080,AT5G14200,AT5G18020,AT5G15230,AT5G18010,AT5G20270,AT5G25190,AT5G15160,AT5G20635,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT5G24770,AT3G01220,AT3G03820,AT3G02410,AT3G53480,AT3G03840,AT3G58850,AT2G42870,AT2G21200,AT2G37640,AT4G38860,AT4G09160,AT4G34760,AT4G38850,AT4G12030,AT4G34790,AT4G34220,AT4G08950,AT4G32280,AT4G38840,AT4G34770","HopB1_8h","8h","Down"
"GO:0009719","response to endogenous stimulus",4.34731176483979e-12,"GO:BP","54/224","AT1G52830,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29450,AT1G04180,AT1G29440,AT1G28130,AT1G29510,AT1G62480,AT1G68870,AT1G64670,AT1G69530,AT1G74670,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G18080,AT5G14200,AT5G18020,AT5G15230,AT5G18010,AT5G20270,AT5G25190,AT5G15160,AT5G20635,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT5G24770,AT3G01220,AT3G03820,AT3G02410,AT3G53480,AT3G03840,AT3G58850,AT2G42870,AT2G21200,AT2G37640,AT4G38860,AT4G09160,AT4G34760,AT4G38850,AT4G12030,AT4G34790,AT4G34220,AT4G08950,AT4G32280,AT4G38840,AT4G34770","HopB1_8h","8h","Down"
"GO:0071365","cellular response to auxin stimulus",7.80392489049444e-11,"GO:BP","22/224","AT1G52830,AT1G29460,AT1G29500,AT1G29450,AT1G29440,AT1G29510,AT1G04250,AT1G04240,AT1G29430,AT5G18080,AT5G18020,AT5G18010,AT5G18030,AT5G18050,AT5G18060,AT3G03820,AT3G53480,AT3G03840,AT4G09160,AT4G34760,AT4G38850,AT4G32280","HopB1_8h","8h","Down"
"GO:0009734","auxin-activated signaling pathway",2.08701553047471e-10,"GO:BP","21/224","AT1G52830,AT1G29460,AT1G29500,AT1G29450,AT1G29440,AT1G29510,AT1G04250,AT1G04240,AT1G29430,AT5G18080,AT5G18020,AT5G18010,AT5G18030,AT5G18050,AT5G18060,AT3G03820,AT3G53480,AT3G03840,AT4G34760,AT4G38850,AT4G32280","HopB1_8h","8h","Down"
"GO:0042221","response to chemical",6.35915515078307e-10,"GO:BP","71/224","AT1G67590,AT1G52830,AT1G33055,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29910,AT1G29450,AT1G04180,AT1G29440,AT1G78370,AT1G28130,AT1G29510,AT1G62480,AT1G68870,AT1G64670,AT1G69530,AT1G74670,AT1G01620,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G06720,AT5G42200,AT5G18080,AT5G14200,AT5G18020,AT5G41080,AT5G15230,AT5G18010,AT5G23750,AT5G65730,AT5G20270,AT5G25190,AT5G23010,AT5G15160,AT5G20635,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT5G24770,AT3G01220,AT3G03820,AT3G47340,AT3G24715,AT3G16690,AT3G02410,AT3G53480,AT3G03840,AT3G58850,AT2G40610,AT2G42870,AT2G21200,AT2G37640,AT4G38860,AT4G09160,AT4G34760,AT4G38850,AT4G12030,AT4G32480,AT4G34790,AT4G34220,AT4G08950,AT4G32280,AT4G24275,AT4G38840,AT4G34770","HopB1_8h","8h","Down"
"GO:1901659","glycosyl compound biosynthetic process",1.62395755985725e-08,"GO:BP","11/224","AT1G16410,AT1G62560,AT5G07690,AT5G14200,AT5G23010,AT5G11160,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopB1_8h","8h","Down"
"GO:0009755","hormone-mediated signaling pathway",2.53267953623261e-08,"GO:BP","36/224","AT1G52830,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29450,AT1G29440,AT1G29510,AT1G62480,AT1G68870,AT1G74670,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G18080,AT5G18020,AT5G15230,AT5G18010,AT5G20270,AT5G25190,AT5G15160,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT3G03820,AT3G53480,AT3G03840,AT3G58850,AT2G42870,AT4G34760,AT4G38850,AT4G34220,AT4G32280","HopB1_8h","8h","Down"
"GO:0032870","cellular response to hormone stimulus",3.33771609525031e-08,"GO:BP","37/224","AT1G52830,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29450,AT1G29440,AT1G29510,AT1G62480,AT1G68870,AT1G74670,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G18080,AT5G18020,AT5G15230,AT5G18010,AT5G20270,AT5G25190,AT5G15160,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT3G03820,AT3G53480,AT3G03840,AT3G58850,AT2G42870,AT4G09160,AT4G34760,AT4G38850,AT4G34220,AT4G32280","HopB1_8h","8h","Down"
"GO:0071495","cellular response to endogenous stimulus",3.4283222634999e-08,"GO:BP","37/224","AT1G52830,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29450,AT1G29440,AT1G29510,AT1G62480,AT1G68870,AT1G74670,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G18080,AT5G18020,AT5G15230,AT5G18010,AT5G20270,AT5G25190,AT5G15160,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT3G03820,AT3G53480,AT3G03840,AT3G58850,AT2G42870,AT4G09160,AT4G34760,AT4G38850,AT4G34220,AT4G32280","HopB1_8h","8h","Down"
"GO:0016144","S-glycoside biosynthetic process",4.47622478446416e-08,"GO:BP","10/224","AT1G16410,AT1G62560,AT5G07690,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopB1_8h","8h","Down"
"GO:0019761","glucosinolate biosynthetic process",4.47622478446416e-08,"GO:BP","10/224","AT1G16410,AT1G62560,AT5G07690,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopB1_8h","8h","Down"
"GO:0050896","response to stimulus",5.41793598151674e-06,"GO:BP","101/224","AT1G67590,AT1G52830,AT1G33055,AT1G72430,AT1G29460,AT1G66100,AT1G75240,AT1G29500,AT1G09750,AT1G29660,AT1G30135,AT1G16410,AT1G29910,AT1G14290,AT1G29450,AT1G04180,AT1G29440,AT1G75780,AT1G78370,AT1G28130,AT1G29510,AT1G62480,AT1G68870,AT1G64670,AT1G69530,AT1G74670,AT1G14280,AT1G01620,AT1G04250,AT1G04240,AT1G29430,AT1G18400,AT5G66080,AT5G07690,AT5G06720,AT5G42200,AT5G04190,AT5G18080,AT5G14200,AT5G18020,AT5G41080,AT5G16000,AT5G15230,AT5G66110,AT5G18010,AT5G23750,AT5G65730,AT5G21280,AT5G20270,AT5G25190,AT5G23010,AT5G44680,AT5G15160,AT5G20635,AT5G18030,AT5G18050,AT5G03760,AT5G39860,AT5G18060,AT5G24770,AT3G54920,AT3G12145,AT3G19710,AT3G01220,AT3G03820,AT3G47340,AT3G24715,AT3G16690,AT3G12610,AT3G02410,AT3G53480,AT3G03840,AT3G30720,AT3G58850,AT3G57520,AT2G33775,AT2G43550,AT2G40610,AT2G23560,AT2G42870,AT2G21200,AT2G11810,AT2G46830,AT2G37640,AT4G38860,AT4G09160,AT4G34760,AT4G38850,AT4G12030,AT4G13770,AT4G32480,AT4G04830,AT4G19130,AT4G34790,AT4G34220,AT4G29360,AT4G08950,AT4G32280,AT4G24275,AT4G38840,AT4G34770","HopB1_8h","8h","Down"
"GO:0070887","cellular response to chemical stimulus",9.00602042347089e-06,"GO:BP","43/224","AT1G52830,AT1G33055,AT1G72430,AT1G29460,AT1G75240,AT1G29500,AT1G30135,AT1G29450,AT1G29440,AT1G29510,AT1G62480,AT1G68870,AT1G74670,AT1G04250,AT1G04240,AT1G29430,AT5G07690,AT5G06720,AT5G42200,AT5G18080,AT5G18020,AT5G41080,AT5G15230,AT5G18010,AT5G20270,AT5G25190,AT5G15160,AT5G18030,AT5G18050,AT5G39860,AT5G18060,AT3G03820,AT3G24715,AT3G53480,AT3G03840,AT3G58850,AT2G42870,AT4G09160,AT4G34760,AT4G38850,AT4G32480,AT4G34220,AT4G32280","HopB1_8h","8h","Down"
"GO:0016143","S-glycoside metabolic process",7.70903368764287e-05,"GO:BP","10/224","AT1G16410,AT1G62560,AT5G07690,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopB1_8h","8h","Down"
"KEGG:04075","Plant hormone signal transduction",1.05782899097031e-08,"KEGG","20/69","AT1G52830,AT1G28130,AT1G04250,AT1G04240,AT5G18080,AT5G18020,AT5G18010,AT5G18030,AT5G18050,AT5G18060,AT3G03820,AT3G03840,AT2G21200,AT4G38860,AT4G34760,AT4G38850,AT4G34790,AT4G32280,AT4G38840,AT4G34770","HopB1_8h","8h","Down"
"KEGG:00966","Glucosinolate biosynthesis",8.16080722483887e-07,"KEGG","7/69","AT1G16410,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G13770","HopB1_8h","8h","Down"
"KEGG:01210","2-Oxocarboxylic acid metabolism",0.00157739721600113,"KEGG","8/69","AT1G16410,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT3G02020,AT2G43100,AT4G13770","HopB1_8h","8h","Down"
